Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
-0.1027,Fri Jun 15 13:15:04 +0000 2018,0.149,0.851,0.0,Iceland's hard World Cup work pays off https://t.co/qkop89Crpd https://t.co/6O4t0oPdu6,93,@CNN
0.4215,Fri Jun 15 08:00:06 +0000 2018,0.0,0.859,0.141,"The US and Russia are ""exploring an opportunity"" for a possible meeting between President Trump and Russian Preside… https://t.co/vOuk8s1uST",94,@CNN
-0.1531,Fri Jun 15 03:26:06 +0000 2018,0.078,0.922,0.0,"A salmonella outbreak that affected 73 people in 31 states has been linked to Kellogg's Honey Smacks cereal, the CD… https://t.co/aSBpu8gqkq",95,@CNN
0.0,Fri Jun 15 01:45:54 +0000 2018,0.0,1.0,0.0,RT @CuomoPrimeTime: Sheriff Joe Arpaio on Trump's border policy: “I understand separating the kids from their families. What about the thou…,96,@CNN
0.5267,Thu Jun 14 23:41:28 +0000 2018,0.0,0.848,0.152,RT @OutFrontCNN: The Justice Department's internal watchdog found that former FBI Director James Comey's actions in the Hillary Clinton ema…,97,@CNN
0.5106,Thu Jun 14 22:26:00 +0000 2018,0.0,0.837,0.163,It's #FlagDay. Here are some fun facts about the American flag you may not have known. https://t.co/zqJv4O2BmL https://t.co/iUgsmPL4J2,98,@CNN
0.1027,Thu Jun 14 21:19:04 +0000 2018,0.0,0.928,0.072,"Seth Rogen and Evan Goldberg, who directed the 2014 movie ""The Interview,"" have admitted that they experienced a se… https://t.co/USjtlASVyi",99,@CNN
-0.5423,Thu Jun 14 19:53:03 +0000 2018,0.163,0.837,0.0,What President Trump said about the media is bad. What Republican Rep. Mo Brooks said is even worse.… https://t.co/F4l46nRljH,100,@CNN
0.0,Thu Jun 28 19:06:30 +0000 2018,0.0,1.0,0.0,"RT @CBSSunday: SUNDAY PROFILE: CYNTHIA NIXON

You remember her from ""Sex and the City""

Now, @CynthiaNixon is running for Governor of New Y…",1,@CBSNews
-0.5994,Thu Jun 28 15:49:40 +0000 2018,0.157,0.843,0.0,The body of a 43-year-old man was found Wednesday morning in South Carolina after he was gored to death by two bull… https://t.co/YezuoSZMMN,2,@CBSNews
-0.2263,Thu Jun 28 12:00:26 +0000 2018,0.091,0.909,0.0,WATCH: Protesters calling for an end to ICE attempted to burn an American flag -- until fellow demonstrators stompe… https://t.co/OKu6OKskUz,3,@CBSNews
-0.4215,Thu Jun 28 09:33:03 +0000 2018,0.203,0.797,0.0,8 reasons why Trump's tariffs may push the U.S. into a recession https://t.co/Cz8XbFZgwO https://t.co/3r5TeTD10s,4,@CBSNews
-0.4939,Thu Jun 28 04:33:03 +0000 2018,0.186,0.814,0.0,"Florida wildfire that destroyed 36 homes was sparked by controlled burn, authorities say https://t.co/BETpLRZ94w https://t.co/uNte6BHIYv",5,@CBSNews
-0.5574,Wed Jun 27 23:19:32 +0000 2018,0.153,0.847,0.0,"FIRST LOOK: See Kristen Wiig as the villain Barbara Minerva, also known as Cheetah, in a scene from ""Wonder Woman 1… https://t.co/9ZKzGeNFlh",6,@CBSNews
0.7906,Wed Jun 27 21:00:01 +0000 2018,0.0,0.731,0.269,Justice Kennedy's most pivotal swing votes and what his retirement means for the future of the Supreme Court on a s… https://t.co/uiSvfY3Q4E,7,@CBSNews
0.91,Wed Jun 27 18:08:30 +0000 2018,0.0,0.528,0.472,"JUST IN: Supreme Court Justice Anthony Kennedy announces he is retiring, effective July 31, giving President Trump… https://t.co/TM4ilY1aei",8,@CBSNews
-0.3818,Wed Jun 27 13:29:47 +0000 2018,0.191,0.809,0.0,"Alexandria Ocasio-Cortez describes ""astonishing"" primary upset against Rep. Joe Crowley https://t.co/LHX8M8DGvM https://t.co/ynUloMYorM",9,@CBSNews
-0.4767,Wed Jun 27 11:06:58 +0000 2018,0.256,0.628,0.117,"A stunning upset rocked the midterm elections Tuesday. Rep. Joe Crowley was defeated by Alexandria Ocasio-Cortez, a… https://t.co/X4m2lc33J7",10,@CBSNews
0.0,Wed Jun 27 06:48:03 +0000 2018,0.0,1.0,0.0,"Sheriff: New Zealand man invades Virginia home of girl he met online, is shot by her mother https://t.co/tReAzar3Hc https://t.co/M2bk6oMTc8",11,@CBSNews
0.743,Wed Jun 27 02:42:38 +0000 2018,0.0,0.674,0.326,"Before first-time candidate Alexandria Ocasio-Cortez won the New York Democratic primary in a stunning upset,… https://t.co/uavMk2yexI",12,@CBSNews
-0.765,Tue Jun 26 22:46:40 +0000 2018,0.336,0.664,0.0,"Fire crews in northern California are struggling to contain the massive Pawnee Fire. 

Mark Strassmann reports from… https://t.co/WEfiEMcAWT",13,@CBSNews
-0.6249,Tue Jun 26 18:35:31 +0000 2018,0.221,0.779,0.0,"WATCH: A Kangaroo interrupted a soccer game in Australia and when he got tired of being goalie, he decided to loung… https://t.co/P43waOVnS9",14,@CBSNews
0.0,Tue Jun 26 14:21:15 +0000 2018,0.132,0.735,0.132,JUST IN: The Supreme Court has sided with President Trump on his travel ban on immigrants entering the U.S. from so… https://t.co/7tSXKCjz1P,15,@CBSNews
-0.3818,Tue Jun 26 11:40:14 +0000 2018,0.133,0.867,0.0,The fight between the two Republicans is the most closely watched race in New York's congressional primaries:… https://t.co/gzdBpOCT9I,16,@CBSNews
-0.7783,Tue Jun 26 08:18:06 +0000 2018,0.362,0.638,0.0,"Factory workers lose jobs as steel tariffs put business in ""crisis mode"" https://t.co/6YY8SVhIqD https://t.co/Hktfw3ojeF",17,@CBSNews
-0.6705,Tue Jun 26 03:18:03 +0000 2018,0.273,0.727,0.0,Scientist killed while camping with daughters at Malibu Creek State Park https://t.co/071YQC4yAX https://t.co/Wzd1UGERXP,18,@CBSNews
-0.3818,Mon Jun 25 22:52:36 +0000 2018,0.133,0.867,0.0,California Gov. Jerry Brown today declared state of emergency in northern California because of a wildfire that has… https://t.co/vq4jp6sHrB,19,@CBSNews
-0.1531,Mon Jun 25 19:44:38 +0000 2018,0.221,0.583,0.196,"In a procession on Monday that was equal parts funeral and demonstration, mourners carried signs honoring Antwon Ro… https://t.co/YhEi47U6We",20,@CBSNews
-0.5106,Mon Jun 25 14:59:58 +0000 2018,0.191,0.809,0.0,"Outcry after woman dubbed ""Permit Patty"" calls police on a black child selling water https://t.co/hUhkQiJB0Q https://t.co/G9Ryc1YqbZ",21,@CBSNews
0.8122,Mon Jun 25 11:59:52 +0000 2018,0.0,0.641,0.359,"""Kindness, compassion, and positivity are very important traits in life,"" Melania Trump tells students at SADD conf… https://t.co/hmOL85StjV",22,@CBSNews
-0.5423,Mon Jun 25 09:48:04 +0000 2018,0.241,0.759,0.0,Authorities investigating fatal police shooting of black man in Minneapolis https://t.co/n4aOqDaHl7 https://t.co/Yk37SBnIVh,23,@CBSNews
-0.2755,Mon Jun 25 04:59:28 +0000 2018,0.095,0.905,0.0,Explorers have walked to the South Pole before. But they've never done it like this. Stream the new CBSN Originals… https://t.co/cLRvKAj5AX,24,@CBSNews
0.6486,Sun Jun 24 23:59:37 +0000 2018,0.0,0.791,0.209,"This father-and-son team set out on a trek to the South Pole to prove that renewable energy can save the planet. ""E… https://t.co/EYzJPU8xCY",25,@CBSNews
-0.5106,Sun Jun 24 17:39:38 +0000 2018,0.136,0.864,0.0,"""It was that close to passing, so let's focus on that"": Rep. Jim Jordan said that a failure to ""whip"" Republican la… https://t.co/Wg5VKKS5OI",26,@CBSNews
0.0,Sun Jun 24 11:03:03 +0000 2018,0.0,1.0,0.0,"This ""Hot Dog Water"" sells for $37.99 a bottle https://t.co/LCRAB8Q54L https://t.co/5aFv5yf5XI",27,@CBSNews
-0.6249,Sun Jun 24 06:03:05 +0000 2018,0.267,0.733,0.0,Jogger says she was detained for 2 weeks after accidentally crossing U.S. border from Canada https://t.co/ZNZJptwj5t https://t.co/hMReobd5Ab,28,@CBSNews
